대상_관광지,1순위,2순위,3순위,4순위,5순위,6순위,7순위,8순위,9순위,10순위,11순위,12순위,13순위,14순위,15순위,16순위,17순위,18순위,19순위,20순위,21순위,22순위,23순위,24순위,25순위,26순위,27순위,28순위,29순위,30순위,31순위,32순위,33순위,34순위,35순위,36순위,37순위,38순위,39순위,40순위,41순위,42순위,43순위,44순위,45순위,46순위,47순위,48순위,49순위,50순위,51순위,52순위,53순위,54순위,55순위,56순위,57순위,58순위,59순위,60순위,61순위,62순위,63순위,64순위,65순위,66순위,67순위,68순위,69순위,70순위,71순위,72순위
UN공원,아미르공원(0.1833),용두산공원(0.1525),낙동강하구에코센터(0.1509),오륙도스카이워크(0.1401),국립해양박물관(0.1285),동래읍성(0.1226),부산박물관(0.1221),태종대(0.1207),야구등대(0.1198),성지곡수원지(0.1144),부네치아(0.1007),금강공원(0.0932),사상인디스테이션(0.0914),동아대석당박물관(0.0908),누리마루(0.0848),송상현광장(0.0827),광안대교(0.0791),화명생태공원(0.0713),송도용궁구름다리(0.0698),보수동책방골목(0.0618),영도대교(0.0476),용호만유람선(0.0447),벡스코(0.0327),안데르센동화마을(0.0320),해운대블루라인파크(0.0247),영화의전당(0.0206),동래온천(0.0203),강서체육공원(0.0202),비프광장(0.0176),초량이바구길(0.0169),부산어촌민속관(0.0151),임랑해수욕장(0.0140),부전마켓타운(0.0119),을숙도(0.0116),다대포꿈의낙조분수(0.0062),국제시장(0.0053),일광해수욕장(0.0046),아미산전망대(0.0034),황령산(0.0024),아홉산숲(-0.0055),삼락생태공원(-0.0057),문화빙상센터(-0.0082),부산프리미엄아울렛(-0.0093),자갈치시장(-0.0099),장안사(-0.0101),구덕야영장(-0.0113),구포시장(-0.0125),호천마을(-0.0144),회동수원지(-0.0173),깡깡이예술마을(-0.0188),전포카페거리(-0.0402),장산(-0.0426),송정해수욕장(-0.0452),더베이101(-0.0514),범어사(-0.0517),상해거리(-0.0522),맥도생태공원(-0.0570),해운대해수욕장(-0.0769),흰여울문화마을(-0.0769),남항대교(-0.0770),광안대교sup(-0.0871),이기대도시자연공원(-0.0895),서동미로시장(-0.0904),송도해수욕장(-0.0967),부산치유의숲(-0.0991),감천문화마을(-0.1087),금정산성(-0.1176),부산항대교(-0.1187),절영해안산책로(-0.1488),대저생태공원(-0.1631),구덕운동장(-0.1819),다대포해수욕장(-0.2313)
감천문화마을,흰여울문화마을(0.6143),호천마을(0.5975),초량이바구길(0.3070),사상인디스테이션(0.2701),절영해안산책로(0.2687),대저생태공원(0.2181),깡깡이예술마을(0.1577),동래읍성(0.1567),해운대블루라인파크(0.1075),부네치아(0.1000),화명생태공원(0.0904),회동수원지(0.0899),송도용궁구름다리(0.0834),안데르센동화마을(0.0769),맥도생태공원(0.0714),아홉산숲(0.0678),남항대교(0.0675),강서체육공원(0.0630),성지곡수원지(0.0610),더베이101(0.0574),오륙도스카이워크(0.0559),부산치유의숲(0.0538),다대포꿈의낙조분수(0.0537),부산항대교(0.0483),아미산전망대(0.0475),구덕야영장(0.0456),부산박물관(0.0356),벡스코(0.0330),야구등대(0.0324),삼락생태공원(0.0273),태종대(0.0246),구덕운동장(0.0236),부산어촌민속관(0.0217),낙동강하구에코센터(0.0207),금정산성(0.0143),황령산(0.0020),국립해양박물관(-0.0038),장산(-0.0088),부산프리미엄아울렛(-0.0114),송정해수욕장(-0.0119),을숙도(-0.0126),범어사(-0.0205),문화빙상센터(-0.0216),용두산공원(-0.0252),자갈치시장(-0.0256),아미르공원(-0.0258),영화의전당(-0.0264),장안사(-0.0289),송상현광장(-0.0297),임랑해수욕장(-0.0306),상해거리(-0.0421),금강공원(-0.0446),광안대교sup(-0.0570),이기대도시자연공원(-0.0577),누리마루(-0.0634),용호만유람선(-0.0643),부전마켓타운(-0.0660),다대포해수욕장(-0.0703),보수동책방골목(-0.0714),비프광장(-0.0746),일광해수욕장(-0.0757),광안대교(-0.0883),서동미로시장(-0.0911),전포카페거리(-0.0950),영도대교(-0.1023),송도해수욕장(-0.1029),동래온천(-0.1044),UN공원(-0.1087),동아대석당박물관(-0.1106),해운대해수욕장(-0.1133),국제시장(-0.1345),구포시장(-0.1365)
강서체육공원,구덕운동장(0.2892),아미르공원(0.2206),부산항대교(0.1950),장산(0.1940),국립해양박물관(0.1840),서동미로시장(0.1631),사상인디스테이션(0.1509),벡스코(0.1478),태종대(0.1256),삼락생태공원(0.1223),대저생태공원(0.1195),안데르센동화마을(0.1193),아미산전망대(0.1106),을숙도(0.1057),범어사(0.1021),이기대도시자연공원(0.1017),아홉산숲(0.1006),부산치유의숲(0.0972),황령산(0.0946),부산어촌민속관(0.0840),누리마루(0.0815),동래읍성(0.0803),영도대교(0.0746),영화의전당(0.0740),다대포해수욕장(0.0734),장안사(0.0634),감천문화마을(0.0630),금강공원(0.0604),남항대교(0.0581),문화빙상센터(0.0533),구포시장(0.0529),성지곡수원지(0.0527),동아대석당박물관(0.0451),부산박물관(0.0422),송도용궁구름다리(0.0412),금정산성(0.0405),자갈치시장(0.0383),낙동강하구에코센터(0.0308),광안대교sup(0.0302),화명생태공원(0.0212),UN공원(0.0202),임랑해수욕장(0.0138),다대포꿈의낙조분수(0.0116),해운대블루라인파크(0.0011),오륙도스카이워크(-0.0031),맥도생태공원(-0.0056),해운대해수욕장(-0.0080),비프광장(-0.0103),국제시장(-0.0124),더베이101(-0.0136),광안대교(-0.0137),용호만유람선(-0.0140),일광해수욕장(-0.0141),부전마켓타운(-0.0146),송정해수욕장(-0.0167),보수동책방골목(-0.0168),용두산공원(-0.0212),부네치아(-0.0287),송도해수욕장(-0.0299),부산프리미엄아울렛(-0.0313),상해거리(-0.0350),호천마을(-0.0356),절영해안산책로(-0.0437),송상현광장(-0.0544),깡깡이예술마을(-0.0599),구덕야영장(-0.0633),전포카페거리(-0.0789),회동수원지(-0.0888),동래온천(-0.0900),흰여울문화마을(-0.0978),초량이바구길(-0.1024),야구등대(-0.1662)
광안대교,용호만유람선(0.2133),광안대교sup(0.1889),남항대교(0.1791),황령산(0.1617),부산어촌민속관(0.1612),장산(0.1469),부산항대교(0.1200),성지곡수원지(0.1060),아홉산숲(0.0990),이기대도시자연공원(0.0846),금강공원(0.0804),UN공원(0.0791),부네치아(0.0772),사상인디스테이션(0.0698),해운대블루라인파크(0.0678),국제시장(0.0663),전포카페거리(0.0618),구덕야영장(0.0560),낙동강하구에코센터(0.0551),동아대석당박물관(0.0544),동래온천(0.0541),부산프리미엄아울렛(0.0522),오륙도스카이워크(0.0487),누리마루(0.0428),부산박물관(0.0381),보수동책방골목(0.0351),비프광장(0.0315),벡스코(0.0313),화명생태공원(0.0285),안데르센동화마을(0.0273),대저생태공원(0.0244),송도용궁구름다리(0.0189),구덕운동장(0.0130),해운대해수욕장(0.0100),용두산공원(0.0094),부전마켓타운(0.0093),흰여울문화마을(0.0091),장안사(0.0081),호천마을(0.0081),자갈치시장(0.0017),다대포꿈의낙조분수(0.0017),동래읍성(0.0014),상해거리(0.0008),을숙도(-0.0051),깡깡이예술마을(-0.0059),영화의전당(-0.0064),아미르공원(-0.0098),강서체육공원(-0.0137),범어사(-0.0172),구포시장(-0.0174),다대포해수욕장(-0.0225),태종대(-0.0236),절영해안산책로(-0.0291),국립해양박물관(-0.0326),영도대교(-0.0408),초량이바구길(-0.0446),삼락생태공원(-0.0565),더베이101(-0.0616),송상현광장(-0.0662),야구등대(-0.0689),금정산성(-0.0696),맥도생태공원(-0.0744),문화빙상센터(-0.0849),감천문화마을(-0.0883),부산치유의숲(-0.0971),아미산전망대(-0.0979),회동수원지(-0.1011),일광해수욕장(-0.1180),송도해수욕장(-0.1305),임랑해수욕장(-0.1436),서동미로시장(-0.1732),송정해수욕장(-0.1780)
광안대교sup,광안대교(0.1889),금정산성(0.1601),부산어촌민속관(0.1406),용호만유람선(0.1268),부산항대교(0.0939),영도대교(0.0859),구덕운동장(0.0829),송정해수욕장(0.0817),벡스코(0.0776),자갈치시장(0.0776),동래온천(0.0711),일광해수욕장(0.0665),전포카페거리(0.0662),국립해양박물관(0.0529),문화빙상센터(0.0528),낙동강하구에코센터(0.0483),송도용궁구름다리(0.0469),부산프리미엄아울렛(0.0430),상해거리(0.0397),장산(0.0359),구포시장(0.0325),이기대도시자연공원(0.0318),강서체육공원(0.0302),아홉산숲(0.0268),성지곡수원지(0.0237),사상인디스테이션(0.0210),구덕야영장(0.0203),다대포꿈의낙조분수(0.0171),누리마루(0.0063),맥도생태공원(0.0022),금강공원(0.0015),화명생태공원(-0.0025),대저생태공원(-0.0061),송도해수욕장(-0.0078),태종대(-0.0092),부네치아(-0.0101),임랑해수욕장(-0.0180),보수동책방골목(-0.0194),황령산(-0.0200),장안사(-0.0225),깡깡이예술마을(-0.0250),부산박물관(-0.0276),초량이바구길(-0.0282),송상현광장(-0.0283),서동미로시장(-0.0326),영화의전당(-0.0345),아미르공원(-0.0348),해운대블루라인파크(-0.0356),다대포해수욕장(-0.0386),삼락생태공원(-0.0418),비프광장(-0.0439),야구등대(-0.0470),동아대석당박물관(-0.0471),을숙도(-0.0524),감천문화마을(-0.0570),안데르센동화마을(-0.0612),회동수원지(-0.0634),부산치유의숲(-0.0647),부전마켓타운(-0.0672),아미산전망대(-0.0724),흰여울문화마을(-0.0765),동래읍성(-0.0780),UN공원(-0.0871),더베이101(-0.0878),해운대해수욕장(-0.1001),국제시장(-0.1011),범어사(-0.1012),절영해안산책로(-0.1161),오륙도스카이워크(-0.1296),남항대교(-0.1359),용두산공원(-0.1493),호천마을(-0.1495)
구덕야영장,금강공원(0.2200),부산치유의숲(0.1869),성지곡수원지(0.1643),안데르센동화마을(0.1602),부산박물관(0.1536),구덕운동장(0.1513),삼락생태공원(0.1456),부산항대교(0.1372),벡스코(0.1255),장산(0.0934),부산어촌민속관(0.0832),태종대(0.0812),비프광장(0.0807),용호만유람선(0.0788),동래온천(0.0711),낙동강하구에코센터(0.0688),광안대교(0.0560),사상인디스테이션(0.0541),구포시장(0.0482),감천문화마을(0.0456),해운대해수욕장(0.0352),송정해수욕장(0.0323),오륙도스카이워크(0.0295),자갈치시장(0.0276),부전마켓타운(0.0250),다대포꿈의낙조분수(0.0211),더베이101(0.0206),광안대교sup(0.0203),부네치아(0.0201),아홉산숲(0.0175),임랑해수욕장(0.0133),송도해수욕장(0.0131),송상현광장(0.0124),영도대교(0.0086),부산프리미엄아울렛(0.0059),아미산전망대(-0.0022),국립해양박물관(-0.0023),깡깡이예술마을(-0.0108),UN공원(-0.0113),흰여울문화마을(-0.0123),해운대블루라인파크(-0.0129),서동미로시장(-0.0148),보수동책방골목(-0.0222),야구등대(-0.0226),용두산공원(-0.0236),국제시장(-0.0242),동래읍성(-0.0244),누리마루(-0.0348),다대포해수욕장(-0.0386),일광해수욕장(-0.0419),아미르공원(-0.0420),영화의전당(-0.0425),문화빙상센터(-0.0533),황령산(-0.0538),송도용궁구름다리(-0.0558),호천마을(-0.0588),장안사(-0.0623),강서체육공원(-0.0633),남항대교(-0.0709),초량이바구길(-0.0799),을숙도(-0.0846),화명생태공원(-0.0867),전포카페거리(-0.1096),이기대도시자연공원(-0.1106),범어사(-0.1152),동아대석당박물관(-0.1163),절영해안산책로(-0.1256),금정산성(-0.1277),회동수원지(-0.1356),대저생태공원(-0.1478),맥도생태공원(-0.1602),상해거리(-0.1647)
구덕운동장,강서체육공원(0.2892),부산항대교(0.2033),태종대(0.2019),안데르센동화마을(0.1780),부산박물관(0.1775),낙동강하구에코센터(0.1595),구덕야영장(0.1513),아미산전망대(0.1388),장산(0.1372),성지곡수원지(0.1246),송도해수욕장(0.1199),다대포꿈의낙조분수(0.1179),야구등대(0.1064),해운대블루라인파크(0.1038),해운대해수욕장(0.0947),영화의전당(0.0943),아미르공원(0.0909),깡깡이예술마을(0.0901),부산어촌민속관(0.0888),송상현광장(0.0887),광안대교sup(0.0829),화명생태공원(0.0829),부산프리미엄아울렛(0.0767),구포시장(0.0743),초량이바구길(0.0738),황령산(0.0719),다대포해수욕장(0.0708),남항대교(0.0685),절영해안산책로(0.0676),회동수원지(0.0669),송도용궁구름다리(0.0633),이기대도시자연공원(0.0631),더베이101(0.0613),장안사(0.0598),사상인디스테이션(0.0559),흰여울문화마을(0.0532),맥도생태공원(0.0523),을숙도(0.0518),국립해양박물관(0.0479),누리마루(0.0394),전포카페거리(0.0386),삼락생태공원(0.0363),벡스코(0.0352),문화빙상센터(0.0350),영도대교(0.0337),금강공원(0.0283),아홉산숲(0.0267),부네치아(0.0263),감천문화마을(0.0236),송정해수욕장(0.0207),용호만유람선(0.0178),자갈치시장(0.0162),동래온천(0.0159),보수동책방골목(0.0157),임랑해수욕장(0.0138),광안대교(0.0130),부산치유의숲(0.0125),대저생태공원(0.0123),일광해수욕장(0.0099),서동미로시장(0.0071),비프광장(0.0049),부전마켓타운(-0.0203),국제시장(-0.0236),범어사(-0.0270),금정산성(-0.0287),호천마을(-0.0305),상해거리(-0.0313),오륙도스카이워크(-0.0325),동아대석당박물관(-0.0526),용두산공원(-0.0943),동래읍성(-0.1412),UN공원(-0.1819)
구포시장,부전마켓타운(0.4624),국제시장(0.3425),서동미로시장(0.2846),비프광장(0.2005),성지곡수원지(0.1495),자갈치시장(0.1307),누리마루(0.1222),흰여울문화마을(0.1089),이기대도시자연공원(0.1014),장산(0.1000),송정해수욕장(0.0848),구덕운동장(0.0743),맥도생태공원(0.0733),안데르센동화마을(0.0688),삼락생태공원(0.0672),전포카페거리(0.0637),을숙도(0.0621),다대포꿈의낙조분수(0.0582),금정산성(0.0556),강서체육공원(0.0529),오륙도스카이워크(0.0522),영화의전당(0.0489),구덕야영장(0.0482),태종대(0.0476),일광해수욕장(0.0400),문화빙상센터(0.0363),부산치유의숲(0.0326),광안대교sup(0.0325),사상인디스테이션(0.0322),상해거리(0.0300),부산프리미엄아울렛(0.0276),절영해안산책로(0.0268),임랑해수욕장(0.0237),깡깡이예술마을(0.0151),벡스코(0.0140),부산박물관(0.0134),금강공원(0.0119),초량이바구길(0.0092),야구등대(0.0067),황령산(-0.0033),해운대해수욕장(-0.0055),영도대교(-0.0059),회동수원지(-0.0105),UN공원(-0.0125),더베이101(-0.0140),광안대교(-0.0174),아홉산숲(-0.0196),화명생태공원(-0.0208),아미르공원(-0.0211),대저생태공원(-0.0274),용호만유람선(-0.0291),송도해수욕장(-0.0327),보수동책방골목(-0.0361),동아대석당박물관(-0.0384),용두산공원(-0.0409),범어사(-0.0442),낙동강하구에코센터(-0.0521),장안사(-0.0528),국립해양박물관(-0.0549),아미산전망대(-0.0594),부산항대교(-0.0620),다대포해수욕장(-0.0658),남항대교(-0.0672),동래읍성(-0.0725),부네치아(-0.0743),송도용궁구름다리(-0.0756),동래온천(-0.0886),해운대블루라인파크(-0.0973),감천문화마을(-0.1365),부산어촌민속관(-0.1527),송상현광장(-0.1887),호천마을(-0.2141)
국립해양박물관,영화의전당(0.3604),벡스코(0.3245),아미르공원(0.3018),안데르센동화마을(0.2192),맥도생태공원(0.1959),강서체육공원(0.1840),문화빙상센터(0.1819),누리마루(0.1746),흰여울문화마을(0.1514),부산어촌민속관(0.1442),낙동강하구에코센터(0.1433),을숙도(0.1397),사상인디스테이션(0.1366),UN공원(0.1285),대저생태공원(0.1183),보수동책방골목(0.1164),삼락생태공원(0.1100),송도해수욕장(0.1039),부산치유의숲(0.1025),부산프리미엄아울렛(0.1023),동래온천(0.0866),이기대도시자연공원(0.0813),금정산성(0.0757),부산항대교(0.0749),남항대교(0.0748),상해거리(0.0665),화명생태공원(0.0656),오륙도스카이워크(0.0621),서동미로시장(0.0620),절영해안산책로(0.0583),광안대교sup(0.0529),일광해수욕장(0.0500),구덕운동장(0.0479),임랑해수욕장(0.0448),부네치아(0.0333),태종대(0.0330),송도용궁구름다리(0.0311),용호만유람선(0.0212),회동수원지(0.0202),해운대해수욕장(0.0162),영도대교(0.0148),호천마을(0.0129),비프광장(0.0086),송정해수욕장(0.0046),동래읍성(0.0031),동아대석당박물관(0.0027),송상현광장(-0.0014),아홉산숲(-0.0014),자갈치시장(-0.0019),구덕야영장(-0.0023),감천문화마을(-0.0038),야구등대(-0.0055),더베이101(-0.0106),초량이바구길(-0.0139),용두산공원(-0.0203),장안사(-0.0237),다대포꿈의낙조분수(-0.0248),장산(-0.0262),성지곡수원지(-0.0299),광안대교(-0.0326),황령산(-0.0331),부산박물관(-0.0429),구포시장(-0.0549),해운대블루라인파크(-0.0710),아미산전망대(-0.0923),다대포해수욕장(-0.1127),전포카페거리(-0.1130),부전마켓타운(-0.1234),범어사(-0.1332),깡깡이예술마을(-0.1371),국제시장(-0.1898),금강공원(-0.2019)
국제시장,구포시장(0.3425),부전마켓타운(0.3061),비프광장(0.2735),보수동책방골목(0.2602),자갈치시장(0.1995),서동미로시장(0.1715),전포카페거리(0.1559),장산(0.1520),태종대(0.1399),황령산(0.1305),성지곡수원지(0.1202),오륙도스카이워크(0.0935),금강공원(0.0916),맥도생태공원(0.0715),초량이바구길(0.0691),아미산전망대(0.0682),광안대교(0.0663),회동수원지(0.0657),금정산성(0.0637),삼락생태공원(0.0616),누리마루(0.0587),범어사(0.0585),용호만유람선(0.0532),흰여울문화마을(0.0511),부산박물관(0.0454),깡깡이예술마을(0.0395),낙동강하구에코센터(0.0371),송도용궁구름다리(0.0370),부네치아(0.0321),안데르센동화마을(0.0296),다대포해수욕장(0.0267),사상인디스테이션(0.0231),더베이101(0.0161),장안사(0.0157),대저생태공원(0.0111),임랑해수욕장(0.0105),UN공원(0.0053),이기대도시자연공원(-0.0063),다대포꿈의낙조분수(-0.0065),화명생태공원(-0.0086),강서체육공원(-0.0124),남항대교(-0.0164),동아대석당박물관(-0.0169),해운대해수욕장(-0.0175),용두산공원(-0.0178),부산프리미엄아울렛(-0.0187),영도대교(-0.0194),영화의전당(-0.0201),부산어촌민속관(-0.0205),절영해안산책로(-0.0206),벡스코(-0.0213),구덕운동장(-0.0236),을숙도(-0.0238),구덕야영장(-0.0242),부산치유의숲(-0.0278),송도해수욕장(-0.0383),아미르공원(-0.0411),해운대블루라인파크(-0.0456),동래읍성(-0.0496),부산항대교(-0.0514),호천마을(-0.0562),문화빙상센터(-0.0831),아홉산숲(-0.0841),송정해수욕장(-0.0912),야구등대(-0.0916),광안대교sup(-0.1011),일광해수욕장(-0.1024),동래온천(-0.1177),감천문화마을(-0.1345),송상현광장(-0.1372),상해거리(-0.1603),국립해양박물관(-0.1898)
금강공원,장산(0.3400),범어사(0.2240),구덕야영장(0.2200),부산치유의숲(0.2134),황령산(0.1717),성지곡수원지(0.1704),태종대(0.1631),장안사(0.1601),부산박물관(0.1495),용두산공원(0.1305),아홉산숲(0.1217),해운대블루라인파크(0.1144),오륙도스카이워크(0.1126),전포카페거리(0.1073),UN공원(0.0932),화명생태공원(0.0917),국제시장(0.0916),낙동강하구에코센터(0.0914),금정산성(0.0810),광안대교(0.0804),비프광장(0.0777),호천마을(0.0763),안데르센동화마을(0.0649),강서체육공원(0.0604),용호만유람선(0.0505),영도대교(0.0486),부산어촌민속관(0.0455),벡스코(0.0426),구덕운동장(0.0283),삼락생태공원(0.0279),부산프리미엄아울렛(0.0275),동아대석당박물관(0.0201),부산항대교(0.0161),아미산전망대(0.0159),남항대교(0.0139),구포시장(0.0119),보수동책방골목(0.0098),부전마켓타운(0.0021),광안대교sup(0.0015),초량이바구길(0.0007),동래온천(-0.0033),문화빙상센터(-0.0113),부네치아(-0.0152),사상인디스테이션(-0.0168),영화의전당(-0.0191),야구등대(-0.0201),더베이101(-0.0209),이기대도시자연공원(-0.0287),송도용궁구름다리(-0.0291),해운대해수욕장(-0.0318),자갈치시장(-0.0349),송도해수욕장(-0.0419),감천문화마을(-0.0446),동래읍성(-0.0464),상해거리(-0.0503),깡깡이예술마을(-0.0525),서동미로시장(-0.0532),대저생태공원(-0.0559),맥도생태공원(-0.0718),임랑해수욕장(-0.0735),일광해수욕장(-0.0798),흰여울문화마을(-0.0868),아미르공원(-0.0934),송상현광장(-0.0959),절영해안산책로(-0.1002),누리마루(-0.1078),송정해수욕장(-0.1079),다대포꿈의낙조분수(-0.1409),회동수원지(-0.1485),다대포해수욕장(-0.1721),국립해양박물관(-0.2019),을숙도(-0.2060)
금정산성,장산(0.3448),황령산(0.3135),동래읍성(0.1745),대저생태공원(0.1663),광안대교sup(0.1601),영도대교(0.1568),문화빙상센터(0.1305),임랑해수욕장(0.1290),일광해수욕장(0.1250),서동미로시장(0.1228),부산어촌민속관(0.1206),낙동강하구에코센터(0.1192),벡스코(0.1139),자갈치시장(0.1109),야구등대(0.1031),맥도생태공원(0.0987),동래온천(0.0953),태종대(0.0938),오륙도스카이워크(0.0930),상해거리(0.0859),금강공원(0.0810),용호만유람선(0.0809),장안사(0.0785),아홉산숲(0.0765),흰여울문화마을(0.0760),국립해양박물관(0.0757),국제시장(0.0637),구포시장(0.0556),안데르센동화마을(0.0540),부산항대교(0.0516),다대포해수욕장(0.0504),아미산전망대(0.0498),사상인디스테이션(0.0489),비프광장(0.0433),범어사(0.0425),을숙도(0.0421),강서체육공원(0.0405),호천마을(0.0339),이기대도시자연공원(0.0322),전포카페거리(0.0310),더베이101(0.0226),송도해수욕장(0.0222),누리마루(0.0207),절영해안산책로(0.0180),부산박물관(0.0154),감천문화마을(0.0143),부산프리미엄아울렛(0.0110),성지곡수원지(0.0085),영화의전당(0.0006),다대포꿈의낙조분수(0.0004),해운대블루라인파크(-0.0064),회동수원지(-0.0121),깡깡이예술마을(-0.0133),초량이바구길(-0.0220),송도용궁구름다리(-0.0221),구덕운동장(-0.0287),부전마켓타운(-0.0419),남항대교(-0.0441),부산치유의숲(-0.0451),동아대석당박물관(-0.0466),부네치아(-0.0472),화명생태공원(-0.0551),광안대교(-0.0696),삼락생태공원(-0.0817),송정해수욕장(-0.0899),해운대해수욕장(-0.0948),보수동책방골목(-0.0987),용두산공원(-0.0998),UN공원(-0.1176),구덕야영장(-0.1277),아미르공원(-0.1301),송상현광장(-0.1303)
깡깡이예술마을,사상인디스테이션(0.3133),화명생태공원(0.1941),전포카페거리(0.1912),보수동책방골목(0.1655),초량이바구길(0.1639),용호만유람선(0.1613),감천문화마을(0.1577),안데르센동화마을(0.1315),야구등대(0.1309),부산어촌민속관(0.1190),구덕운동장(0.0901),성지곡수원지(0.0884),부네치아(0.0881),벡스코(0.0863),서동미로시장(0.0846),영화의전당(0.0834),자갈치시장(0.0744),부산박물관(0.0723),해운대블루라인파크(0.0719),흰여울문화마을(0.0653),동아대석당박물관(0.0629),대저생태공원(0.0568),아미산전망대(0.0520),용두산공원(0.0510),국제시장(0.0395),장안사(0.0387),영도대교(0.0382),아홉산숲(0.0363),절영해안산책로(0.0328),을숙도(0.0328),부전마켓타운(0.0262),오륙도스카이워크(0.0233),회동수원지(0.0164),아미르공원(0.0155),구포시장(0.0151),부산프리미엄아울렛(0.0133),부산치유의숲(0.0107),송도용궁구름다리(0.0078),일광해수욕장(0.0070),송상현광장(0.0049),다대포꿈의낙조분수(-0.0056),광안대교(-0.0059),태종대(-0.0068),맥도생태공원(-0.0090),구덕야영장(-0.0108),삼락생태공원(-0.0117),비프광장(-0.0125),금정산성(-0.0133),송도해수욕장(-0.0183),UN공원(-0.0188),임랑해수욕장(-0.0194),다대포해수욕장(-0.0232),광안대교sup(-0.0250),이기대도시자연공원(-0.0261),동래온천(-0.0286),부산항대교(-0.0315),해운대해수욕장(-0.0322),상해거리(-0.0349),황령산(-0.0422),더베이101(-0.0515),금강공원(-0.0525),장산(-0.0548),강서체육공원(-0.0599),낙동강하구에코센터(-0.0642),송정해수욕장(-0.0683),남항대교(-0.0777),호천마을(-0.0876),문화빙상센터(-0.1000),국립해양박물관(-0.1371),동래읍성(-0.1455),누리마루(-0.1621),범어사(-0.1649)
낙동강하구에코센터,을숙도(0.3256),부산박물관(0.2696),아미산전망대(0.2667),안데르센동화마을(0.2075),부산어촌민속관(0.1966),태종대(0.1810),벡스코(0.1768),화명생태공원(0.1743),자갈치시장(0.1681),장안사(0.1606),누리마루(0.1604),구덕운동장(0.1595),UN공원(0.1509),야구등대(0.1495),국립해양박물관(0.1433),문화빙상센터(0.1413),동아대석당박물관(0.1357),오륙도스카이워크(0.1308),일광해수욕장(0.1286),황령산(0.1267),범어사(0.1250),송도용궁구름다리(0.1202),금정산성(0.1192),장산(0.1122),맥도생태공원(0.1065),호천마을(0.1038),아홉산숲(0.0983),성지곡수원지(0.0955),금강공원(0.0914),삼락생태공원(0.0908),이기대도시자연공원(0.0896),용두산공원(0.0893),부산항대교(0.0884),용호만유람선(0.0849),회동수원지(0.0770),절영해안산책로(0.0764),다대포해수욕장(0.0762),구덕야영장(0.0688),부전마켓타운(0.0679),전포카페거리(0.0663),대저생태공원(0.0656),부산치유의숲(0.0638),다대포꿈의낙조분수(0.0624),임랑해수욕장(0.0557),영화의전당(0.0555),광안대교(0.0551),동래온천(0.0507),광안대교sup(0.0483),국제시장(0.0371),동래읍성(0.0325),강서체육공원(0.0308),더베이101(0.0221),감천문화마을(0.0207),송정해수욕장(0.0197),부산프리미엄아울렛(0.0187),흰여울문화마을(0.0183),송도해수욕장(0.0094),영도대교(0.0041),보수동책방골목(0.0020),초량이바구길(0.0018),해운대블루라인파크(-0.0016),서동미로시장(-0.0057),부네치아(-0.0075),사상인디스테이션(-0.0124),남항대교(-0.0125),아미르공원(-0.0319),송상현광장(-0.0347),구포시장(-0.0521),상해거리(-0.0600),비프광장(-0.0606),깡깡이예술마을(-0.0642),해운대해수욕장(-0.0654)
남항대교,절영해안산책로(0.2914),송도해수욕장(0.2477),흰여울문화마을(0.2360),부산항대교(0.1826),광안대교(0.1791),범어사(0.1445),오륙도스카이워크(0.1355),부전마켓타운(0.1212),호천마을(0.1198),부산박물관(0.1191),해운대블루라인파크(0.1086),장산(0.0810),국립해양박물관(0.0748),맥도생태공원(0.0709),구덕운동장(0.0685),감천문화마을(0.0675),영도대교(0.0597),강서체육공원(0.0581),태종대(0.0492),야구등대(0.0486),화명생태공원(0.0439),해운대해수욕장(0.0397),대저생태공원(0.0393),동아대석당박물관(0.0322),자갈치시장(0.0263),회동수원지(0.0262),장안사(0.0222),일광해수욕장(0.0184),금강공원(0.0139),동래읍성(0.0122),부네치아(0.0122),상해거리(0.0066),용호만유람선(0.0034),사상인디스테이션(0.0002),초량이바구길(-0.0048),문화빙상센터(-0.0075),황령산(-0.0117),낙동강하구에코센터(-0.0125),부산어촌민속관(-0.0153),송상현광장(-0.0161),국제시장(-0.0164),더베이101(-0.0228),용두산공원(-0.0323),금정산성(-0.0441),비프광장(-0.0515),성지곡수원지(-0.0527),아미르공원(-0.0532),삼락생태공원(-0.0561),안데르센동화마을(-0.0582),부산치유의숲(-0.0631),전포카페거리(-0.0641),동래온천(-0.0644),영화의전당(-0.0645),부산프리미엄아울렛(-0.0653),아홉산숲(-0.0655),구포시장(-0.0672),아미산전망대(-0.0685),구덕야영장(-0.0709),보수동책방골목(-0.0725),벡스코(-0.0754),UN공원(-0.0770),깡깡이예술마을(-0.0777),을숙도(-0.0781),임랑해수욕장(-0.0871),다대포꿈의낙조분수(-0.0930),이기대도시자연공원(-0.1013),송정해수욕장(-0.1052),서동미로시장(-0.1189),누리마루(-0.1229),다대포해수욕장(-0.1303),광안대교sup(-0.1359),송도용궁구름다리(-0.1636)
